Date,Cases,Temperature
2020-10-06,41906,32.236111
2020-10-07,31553,32.597222
2020-10-08,27750,33.180556
2020-10-09,27444,33.111111
2020-10-10,26749,32.583333
2020-10-11,12342,26.814815
2020-10-12,8429,28.236111
2020-10-13,10220,28.592593
2020-10-14,27235,29.694444
2020-10-15,28523,29.458333
2020-10-16,30914,29.513889
2020-10-17,24062,30.888889
2020-10-18,10982,29.736111
2020-10-19,15383,24.925926
2020-10-20,23227,27.708333
2020-10-21,24818,28.888889
2020-10-22,24858,29.847222
2020-10-23,30026,28.527778
2020-10-24,26979,25.12963
2020-10-25,13493,27.688889
2020-10-26,15726,29.155556
2020-10-27,29787,29.388889
2020-10-28,28629,26.796296
2020-10-29,26106,26.2
2020-10-30,22282,27.907407
2020-10-31,18947,25.490741
2020-11-01,10100,26.033333
2020-11-02,8501,28.055556
