Date,Cases,Stringency Index
2020-10-19,15383,63.43
2020-10-20,23227,63.43
2020-10-21,24818,63.43
2020-10-22,24858,63.43
2020-10-23,30026,57.87
2020-10-24,26979,57.87
2020-10-25,13493,55.09
2020-10-26,15726,55.09
2020-10-27,29787,55.09
2020-10-28,28629,55.09
