Date,Cases,Relative Humidity
2020-10-04,8456,30.242679
2020-10-05,11946,31.499081
2020-10-06,41906,35.759829
2020-10-07,31553,35.784712
2020-10-08,27750,33.463157
2020-10-09,27444,34.238946
2020-10-10,26749,38.451045
2020-10-11,12342,63.937084
2020-10-12,8429,55.36035
2020-10-13,10220,52.845106
2020-10-14,27235,51.308356
2020-10-15,28523,52.811905
2020-10-16,30914,53.10163
2020-10-17,24062,46.662416
2020-10-18,10982,52.266013
2020-10-19,15383,77.682977
2020-10-20,23227,63.39993
2020-10-21,24818,57.309782
2020-10-22,24858,51.719427
2020-10-23,30026,59.276613
2020-10-24,26979,81.483839
2020-10-25,13493,66.749485
2020-10-26,15726,61.253364
2020-10-27,29787,61.258891
2020-10-28,28629,72.460866
2020-10-29,26106,76.821012
2020-10-30,22282,67.846171
2020-10-31,18947,79.381227
2020-11-01,10100,73.946628
2020-11-02,8501,59.900675
